Symbol,Rank,Score,3M Return,6M Return
BORORENEW,383,-0.05826210357583281,0.129087212810306,0.14470197602709933
ATGL,384,-0.05832852215352616,0.064705453791426,0.22330834770728347
ZYDUSWELL,385,-0.06202759395992353,0.005030082525360191,0.23993313289133789
GRSE,386,-0.06835745144753878,0.03691368115216753,0.06857737992041746
VGUARD,387,-0.07422687967310888,0.054768091648679906,0.016194721172494653
KFINTECH,388,-0.08223523095370854,0.19262014804337357,-0.06672003043734875
COHANCE,389,-0.08249632546328857,0.07137021184853465,0.40739603349225706
NMDC,390,-0.08322561658015357,-0.06390062319982603,0.053564753548349664
JSWDULUX,391,-0.09003691004680046,0.0784467358525276,0.030051469582230483
SAIL,392,-0.09566763869358465,-0.1117625370395573,0.07524649973207742
CRISIL,393,-0.1102564668396466,0.0899445141121944,-0.012492950178877527
HERITGFOOD,394,-0.1130842615147784,0.11435476845444681,0.022055336009536797
SCHAEFFLER,395,-0.11347446813617054,0.02523779630125289,0.05713446515177756
BIOCON,396,-0.11359871398469583,-0.014776201526004895,0.10819794104495162
ASIANPAINT,397,-0.1296749508382392,0.016509229993829422,0.09253532432932676
JAYNECOIND,398,-0.13001014806704467,-0.14008970490428307,0.08474781439015677
GODREJAGRO,399,-0.1320449477744143,0.07097345622017892,-0.05970229963874063
ATUL,400,-0.14119732958692632,-0.033105267236728575,0.002055854456380679
FEDFINA,401,-0.14429580916908583,0.003457833467136018,0.08553341385150359
RELAXO,402,-0.14787360304484584,0.3339715150846918,0.028444938352689464
JUBLFOOD,403,-0.148622647231054,0.10555335132379362,-0.03600295549264476
MGL,404,-0.15080475952020247,0.06908835180244943,0.0003922956554078816
CRAMC,405,-0.1518779336791278,0.10947056541450806,-0.0331129015997067
CIPLA,406,-0.15656687659432172,0.013911121017655459,0.07129941069608914
MANKIND,407,-0.15841328850270736,-0.04335455114348541,0.15026974738339272
FIEMIND,408,-0.15868550058019762,0.050262588485416204,-0.012348614361705867
POWERMECH,409,-0.15993027363255516,0.02932288820872908,0.126325430879906
APOLLOTYRE,410,-0.16009777531548944,0.16871429327613408,-0.0771561089106455
V2RETAIL,411,-0.1606532858785473,0.009985266408112592,0.08820034117049058
GMRAIRPORT,412,-0.1727623543981098,0.07575754291755143,0.018732535292791397
HOMEFIRST,413,-0.18143510353182,0.11249197686483892,0.005099066811630637
ASTRAL,414,-0.18458116556360096,-0.013524946430647722,-0.06831569135840931
DCBBANK,415,-0.1862812087801436,0.03954041218846727,-0.06477680941922581
AADHARHFC,416,-0.18638211884378855,0.05093694817112082,0.03444986130903005
MAHSCOOTER,417,-0.19458967183676706,0.11920803546747871,-0.04141641246010064
HAVELLS,418,-0.19833767637518135,0.0901070882621835,-0.09223583875760288
JAMNAAUTO,419,-0.19853087003500347,0.10713640669468671,-0.15386210122445243
PWL,420,-0.1987578538131831,0.09531572330591609,0.181258586237508
LTM,421,-0.2033516963798854,0.14546742044499017,-0.07650938728066992
HCLTECH,422,-0.208718285840105,0.14359991228240943,-0.08917984251088995
LUPIN,423,-0.21021088858049408,-0.004107794196945069,0.007386491392292527
SCI,424,-0.21113486719841915,-0.14882511312397462,0.0940413226544945
BLACKBUCK,425,-0.21278312048736708,0.11126926035021278,-0.06257498137736572
SAMMAANCAP,426,-0.2141384680359158,0.0906617281398232,0.025313113878913995
CESC,427,-0.21706456834166724,-0.047619014666257176,0.09041339659618197
MMTC,428,-0.22008563851146595,0.024890915502080224,0.00126319302138711
ADANIPORTS,429,-0.22177592401709223,-0.05083561921220303,0.09415850554722138
JPPOWER,430,-0.22787628992785475,-0.09028868148237745,0.15687586470505988
JUSTDIAL,431,-0.22908753799686354,0.27993820507293243,0.049948526198879684
ECLERX,432,-0.23282892836422317,0.21757997927685935,-0.015357613399453407
BLS,433,-0.2333146713401879,0.050176734162595826,-0.040258344920230504
CDSL,434,-0.23365387009777858,0.14827869292424345,0.0030181262030344325
GPPL,435,-0.23899451352708886,0.04933581885622074,-0.10061131000526802
ANGELONE,436,-0.2551294515229982,-0.03815974959329249,0.1362135581815127
CAMS,437,-0.2565293166218687,-0.009168738867916693,0.038964430560076924
COROMANDEL,438,-0.2569622509477774,0.12726674635698787,-0.12193064881894689
HEXT,439,-0.26357594140098933,0.1385152695680687,-0.012021561454256036
SARDAEN,440,-0.2652647413043906,-0.029076104759580668,0.02054423760067081
TVSSCS,441,-0.2673223826725437,0.10532035642472737,-0.014226838163895583
RITES,442,-0.26931979037887427,0.06670363538031832,-0.0013961337844331512
SENCO,443,-0.272677857573364,0.019969761281439125,-0.008047535010795914
PCJEWELLER,444,-0.2735189798036419,0.1825980145809325,-0.06219634068953894
SAMHI,445,-0.27600657739226264,0.11781494985464858,-0.013571551859362763
HINDZINC,446,-0.27751327134085735,-0.1190102120974077,-0.024356448155587684
ALKEM,447,-0.27926131883941424,0.0011484589377175336,0.009958080312781892
LTTS,448,-0.2845061957569052,0.004723287550031596,0.02039065559679165
ABREL,449,-0.28907825737960335,0.1230566581387389,0.017093936251632025
TRENT,450,-0.2903164892533354,0.10277299260911255,0.061977357226642216
BANCOINDIA,451,-0.2910467301303332,0.07883882242617357,-0.0352384676487979
FSL,452,-0.2919448326758572,0.12859098010649705,0.03774527271644357
DELHIVERY,453,-0.2950052387546708,-0.012397134166723833,0.04141599581424815
BANKINDIA,454,-0.29657676370211533,0.06748169854802488,-0.14490106275250492
EIEL,455,-0.298081648789372,0.054150795036142396,0.19110896264932986
CANBK,456,-0.2992089828536213,0.0707840056536746,-0.11977806439779937
BHARTIARTL,457,-0.3095228887674381,0.01765314692022435,-0.024476464829498612
LINDEINDIA,458,-0.3095881297879678,-0.06482029313910576,-0.006848609532578487
RELIGARE,459,-0.31351728909683674,0.059862399319990045,0.019638114864874767
ICICIAMC,460,-0.3158535762194706,-0.003838630170009294,0.015212370711947587
KSB,461,-0.3159292681163566,-0.05641516749036035,0.1003601074875402
STYRENIX,462,-0.3261065261226223,-0.04705879177676231,0.10125673728887041
RECLTD,463,-0.32741326215026373,0.036562881218557663,-0.04130325886042452
SUPREMEIND,464,-0.3326712400544554,0.03618389017444046,-0.07720960550990075
JBMA,465,-0.3363975970528689,-0.0017766883270896594,0.060301873231587866
AMBER,466,-0.33802671896622816,0.031383238973928806,-0.06536610083607808
LICI,467,-0.33882911901373847,0.06365980036488161,-0.0420162200892209
BRITANNIA,468,-0.34350512755462614,0.04065127061226881,-0.09338991501414606
TATACOMM,469,-0.3459163182348101,0.027721924312463342,0.034417963282809216
CHALET,470,-0.3469535536891375,0.051528788333301545,-0.046057583985115724
JSWCEMENT,471,-0.34700956103970076,0.04122356843219244,0.034568443077485744
AXISCADES,472,-0.3481489636738583,-0.19735205057894845,0.09454959759799975
REDTAPE,473,-0.35023733731250745,-0.00901156622878485,-0.0017116050935649385
PURVA,474,-0.3518782331113981,0.04585134310355077,-0.05036856930011202
MARUTI,475,-0.3539140143751864,0.06816556135762908,-0.08314149396570303
NSLNISP,476,-0.35728517316231856,-0.03995301512153193,0.027672917587951984
IEX,477,-0.35782392547655845,0.0032388787520558626,-0.0021420387814643504
PTC,478,-0.35864868308073744,-0.12853986261253414,0.04252282455532663
JSL,479,-0.35886862887083987,-0.017297818452843394,-0.029803476130488504
MSUMI,480,-0.36293098794548695,0.041409603583149934,-0.050337119406453246
PRAJIND,481,-0.3648545127093539,-0.06550239333665964,0.040804025822760215
GMDCLTD,482,-0.3656138243166735,-0.09307832571921026,-0.004768923755434362
COCHINSHIP,483,-0.37282639621599406,-0.014073372202263013,-0.02413185861174494
BANDHANBNK,484,-0.375024187983427,-0.08815011911610049,0.010606149681245514
SUNDARMFIN,485,-0.37702911142046575,-0.0008554997761411887,-0.10362747541962403
PFIZER,486,-0.3780113138842547,0.003278781933890196,-0.05331606158206681
AXISBANK,487,-0.3798915679557295,0.00853226793638484,-0.09334633108732315
KAYNES,488,-0.38110380063570354,0.1721506180597514,-0.09919901417128774
MASTEK,489,-0.38129190655943745,0.1120489848028754,0.0019157371850087035
CAPILLARY,490,-0.38391858691995523,-0.01223266400421219,-0.03726995211387241
BSE,491,-0.3957445200117051,-0.19493855247326874,0.1747226895709435
ASHAPURMIN,492,-0.39705552142311545,-0.06668751057486766,0.08417990266930242
PAGEIND,493,-0.4048174867900617,-0.020159808743117957,0.09895055972610667
INOXGREEN,494,-0.4061752402189167,0.0018896882705505824,0.030055482148018342
VAIBHAVGBL,495,-0.4070015387450221,0.07755546890781573,-0.08193224902166485
SBFC,496,-0.409585940433702,0.0356194819286737,-0.035143729522981615
AAVAS,497,-0.4112957024839296,0.03405025337429812,0.060661821938717164
BATAINDIA,498,-0.41380341635856577,0.12538309881869858,-0.08652972079439447
RATNAMANI,499,-0.41616759769039047,-0.02660538254092426,-0.03753191962080349
DALBHARAT,500,-0.42337685273441816,0.08257481812184087,-0.1291193747582522
HDBFS,501,-0.4246020019448295,0.03427394256828209,-0.03551585759904885
BPCL,502,-0.4297022270102363,0.11235761995049809,-0.17996846650409315
