Symbol,MarketCap,AsOf,Source
IXIGO,73494622856.95,2026-09-09,pr_live_zip
J&KBANK,160563414930.05,2026-09-09,pr_live_zip
JAIBALAJI,62672051091.0,2026-09-09,pr_live_zip
JAINREC,102093638071.9,2026-09-09,pr_live_zip
JAMNAAUTO,51544490850.55,2026-09-09,pr_live_zip
JAYNECOIND,88710399571.85,2026-09-09,pr_live_zip
JBMA,145266601662.0,2026-09-09,pr_live_zip
JINDALSAW,199334716537.8,2026-09-09,pr_live_zip
JINDALSTEL,1169531003210.5,2026-09-09,pr_live_zip
JIOFIN,1525325714913.0,2026-09-09,pr_live_zip
JKCEMENT,385607206615.5,2026-09-09,pr_live_zip
JKLAKSHMI,61972897459.2,2026-09-09,pr_live_zip
JKPAPER,74132179523.35,2026-09-09,pr_live_zip
JKTYRE,102703138293.75,2026-09-09,pr_live_zip
JLHL,92448091020.0,2026-09-09,pr_live_zip
JMFINANCIL,121212960765.6,2026-09-09,pr_live_zip
JPPOWER,112396724762.8,2026-09-09,pr_live_zip
JSFB,56246851511.7,2026-09-09,pr_live_zip
JSL,645767863280.4,2026-09-09,pr_live_zip
JSLL,62921029526.0,2026-09-09,pr_live_zip
JSWCEMENT,164558147775.2,2026-09-09,pr_live_zip
JSWDULUX,144781766268.8,2026-09-09,pr_live_zip
JSWENERGY,980546567212.8,2026-09-09,pr_live_zip
JSWINFRA,795462534973.8,2026-09-09,pr_live_zip
JSWSTEEL,3203544695460.0,2026-09-09,pr_live_zip
JUBLFOOD,314053322940.0,2026-09-09,pr_live_zip
JUBLINGREA,107156386262.25,2026-09-09,pr_live_zip
JUBLPHARMA,162307480641.0,2026-09-09,pr_live_zip
JUSTDIAL,57701515760.4,2026-09-09,pr_live_zip
JWL,103000537452.9,2026-09-09,pr_live_zip
JYOTHYLAB,71643551096.1,2026-09-09,pr_live_zip
JYOTICNC,229481275018.8,2026-09-09,pr_live_zip
KAJARIACER,197370221768.0,2026-09-09,pr_live_zip
KALYANKJIL,627492949773.2,2026-09-09,pr_live_zip
KANSAINER,154626206664.0,2026-09-09,pr_live_zip
KARURVYSYA,329187842435.4,2026-09-09,pr_live_zip
KAYNES,242330274210.0,2026-09-09,pr_live_zip
KEC,104669840000.0,2026-09-09,pr_live_zip
KEI,446406978352.5,2026-09-09,pr_live_zip
KFINTECH,156927495304.0,2026-09-09,pr_live_zip
KIMS,319855937890.2,2026-09-09,pr_live_zip
KIRLOSBROS,146922394885.2,2026-09-09,pr_live_zip
KIRLOSENG,322728937685.6,2026-09-09,pr_live_zip
KIRLPNU,94169888043.0,2026-09-09,pr_live_zip
KITEX,25272660000.0,2026-09-09,pr_live_zip
KNRCON,34563732340.0,2026-09-09,pr_live_zip
KOTAKBANK,4117854713580.0,2026-09-09,pr_live_zip
KPIGREEN,57631262270.4,2026-09-09,pr_live_zip
KPIL,240533131041.0,2026-09-09,pr_live_zip
KPITTECH,151628940204.8,2026-09-09,pr_live_zip
KPRMILL,389770504200.0,2026-09-09,pr_live_zip
KRBL,99441213579.4,2026-09-09,pr_live_zip
KRN,104556839687.8,2026-09-09,pr_live_zip
