Symbol,ATH,ATHDate,AsOf
MOTILALOFS,1525.0265328442026,2018-01-08,2026-09-15
MPHASIS,3262.431334454384,2021-10-19,2026-09-15
MRF,163308.4863287346,2025-10-24,2026-09-15
MRPL,280.4704594970093,2024-02-19,2026-09-15
MSTCLTD,1056.3547736644787,2024-01-31,2026-09-15
MSUMI,52.823297143452564,2026-01-06,2026-09-15
MTARTECH,8714.0,2026-06-19,2026-09-15
MUTHOOTFIN,4114.708242760882,2026-01-29,2026-09-15
NAM-INDIA,1269.5,2026-08-24,2026-09-15
NATCOPHARM,1622.1721676157958,2024-09-12,2026-09-15
NATIONALUM,443.3731066930094,2026-06-02,2026-09-15
NAUKRI,1808.4991296657101,2025-01-06,2026-09-15
NAVA,732.5560380476754,2026-05-11,2026-09-15
NAVINFLUOR,8949.5,2026-09-09,2026-09-15
NAZARA,419.5,2021-10-11,2026-09-15
NBCC,136.6108181994253,2024-08-28,2026-09-15
NCC,352.96837732769524,2024-07-31,2026-09-15
NEOGEN,2483.89990234375,2026-08-18,2026-09-15
NESCO,1628.413458753058,2025-09-11,2026-09-15
NESTLEIND,1553.0,2026-08-07,2026-09-15
NETWEB,5813.0,2026-08-24,2026-09-15
NETWORK18,676.9033203125,2006-09-15,2026-09-15
NEULANDLAB,24225.0,2026-09-09,2026-09-15
NEWGEN,1770.3112574214547,2025-01-15,2026-09-15
NFL,164.41185632992998,2024-07-23,2026-09-15
NH,2359.4014289241077,2025-06-27,2026-09-15
NHPC,112.53014309965083,2024-07-15,2026-09-15
NIACL,356.7104941063081,2018-05-30,2026-09-15
